filename,gt_area_px,pred_area_px,abs_area_diff_px,relative_area_diff,dice,iou
train_Subject_1_1.png,0,0,0,n/a (empty GT),1.0,1.0
train_Subject_1_10.png,0,0,0,n/a (empty GT),1.0,1.0
train_Subject_1_100.png,0,0,0,n/a (empty GT),1.0,1.0
train_Subject_1_101.png,0,0,0,n/a (empty GT),1.0,1.0
train_Subject_1_491.png,26,0,26,1.0,0.0,0.0
train_Subject_1_492.png,30,0,30,1.0,0.0,0.0
train_Subject_1_493.png,32,0,32,1.0,0.0,0.0
train_Subject_1_494.png,34,0,34,1.0,0.0,0.0
train_Subject_1_495.png,40,0,40,1.0,0.0,0.0
train_Subject_1_496.png,40,0,40,1.0,0.0,0.0
train_Subject_1_497.png,49,0,49,1.0,0.0,0.0
train_Subject_1_498.png,49,0,49,1.0,0.0,0.0
train_Subject_1_499.png,42,0,42,1.0,0.0,0.0
train_Subject_1_500.png,44,0,44,1.0,0.0,0.0
train_Subject_1_501.png,41,0,41,1.0,0.0,0.0
train_Subject_1_502.png,40,0,40,1.0,0.0,0.0
train_Subject_1_503.png,43,0,43,1.0,0.0,0.0
train_Subject_1_504.png,39,0,39,1.0,0.0,0.0
train_Subject_1_505.png,34,0,34,1.0,0.0,0.0
train_Subject_1_506.png,30,0,30,1.0,0.0,0.0
train_Subject_1_507.png,27,0,27,1.0,0.0,0.0
train_Subject_1_508.png,15,0,15,1.0,0.0,0.0
train_Subject_1_509.png,13,0,13,1.0,0.0,0.0
train_Subject_1_510.png,7,0,7,1.0,0.0,0.0
train_Subject_1_511.png,3,0,3,1.0,0.0,0.0
train_Subject_40_0.png,0,24,24,inf,0.0,0.0
train_Subject_40_1.png,0,30,30,inf,0.0,0.0
train_Subject_40_10.png,0,155,155,inf,0.0,0.0
train_Subject_40_100.png,0,115,115,inf,0.0,0.0
train_Subject_40_101.png,0,61,61,inf,0.0,0.0
train_Subject_40_114.png,72,164,92,1.2777777777777777,0.0,0.0
train_Subject_40_115.png,98,118,20,0.20408163265306123,0.0,0.0
train_Subject_40_116.png,112,82,30,0.26785714285714285,0.0,0.0
train_Subject_40_117.png,139,90,49,0.35251798561151076,0.1135,0.0602
train_Subject_40_118.png,146,133,13,0.08904109589041095,0.1147,0.0608
train_Subject_40_119.png,146,114,32,0.2191780821917808,0.1769,0.097
train_Subject_40_120.png,147,119,28,0.19047619047619047,0.1955,0.1083
train_Subject_40_121.png,136,147,11,0.08088235294117647,0.318,0.1891
train_Subject_40_122.png,145,136,9,0.06206896551724138,0.484,0.3192
train_Subject_40_123.png,152,163,11,0.07236842105263158,0.419,0.2651
train_Subject_40_124.png,171,216,45,0.2631578947368421,0.3721,0.2286
train_Subject_40_125.png,154,218,64,0.4155844155844156,0.4946,0.3286
train_Subject_40_126.png,128,242,114,0.890625,0.5081,0.3406
train_Subject_40_127.png,115,215,100,0.8695652173913043,0.5394,0.3693
train_Subject_40_128.png,150,229,79,0.5266666666666666,0.4697,0.3069
train_Subject_40_129.png,169,213,44,0.2603550295857988,0.4607,0.2993
